bangla_speech,combined,ipa_output
কিন্তু এইটা কোনদিনও সম্ভব না ,Sylhet কিন্তু ইকটা কোনদিন ওউ সম্ভব নায়,ʃɔlhe kɪnt̪u ɪktɐ kond̪ɪn o͡u̯ ʃɔmbʱɔb nɐe̯
তুমি কি বিয়েতে রাজি ?,Sylhet তুমিতাইন কিতা বিয়াত রাজি নি?,ʃɔlho t̪umɪt̪ɐ͡ɪ̯n kɪt̪ɐ bɪʲɐt̪ ɾɐɟɪ nɪ?
আমি রাজি না ,Sylhet আমি রাজি নায়,ʃɔlhe ɐmɪ ɾɐɟɪ nɐe̯
পাখিটা দেখতে সুন্দর ,Sylhet পাখি ওগু দেখতে সুন্দর,ʃɔlhe pɐkʰɪ ogu d̪ekʰt̪e ʃund̪ɔɾ
লাল রঙের শাড়িতে তোমায় ভালো মানাবে ,Sylhet লাল রঙ ওর শাড়িত তোমারে বালা মানাইবো,ʃɔlhe lɐl ɾɔŋ oɾ ʃɐɽɪt̪o t̪omɐɾe bɐlɐ mɐnɐ͡ɪ̯bo
নীল রঙ আমার অনেক পছন্দ ,Sylhet নীল রঙ আমার খুব বালা লাগে, ʃɔlhe nɪl ɾɔŋ ɐmɐɾ kʰub bɐlɐ lɐge
আমি তোমায় ভালবাসি না,Sylhet আমি তোমারে বালা ফাই না,ʃɔlhe ɐmɪ t̪omɐɾe bɐlɐ pʰɐ͡ɪ̯ nɐ
কেন ভালোবাসো না আমায় ? ,Sylhet কিতার লাগি আমারে বালা ফাও না?,ʃɔlhe kɪt̪ɐɾ lɐgɪ ɐmɐɾe bɐlɐ pʰɐ͡o̯ nɐ?
আমার মধ্যে সমস্যা আছে ,Sylhet আমার মাঝে বেজাল আছে,sɪhet ɐmɐɾ mɐɟʱe beɟɐl ɐcʰe
আমার মাথা গরম থাকে ,Sylhet আমার মাথা গরম ওই থাকে,sɪlhe ɐmɐɾ mɐt̪ʰɐ gɔɾom o͡ɪ̯ t̪ʰɐke
আমি বদমেজাজি লোক ,Sylhet আমি বদ মেজাজ ওর মানুষ,ʃɔlhe ɐmɪ bɔd̪ meɟɐɟ oɾ mɐnuʃ
বেশী কথা আমার পছন্দ না ,Sylhet বেশি মাত আমার বালা লাগে না,ʃɔlhe beʃɪ mɐt̪ ɐmɐɾ bɐlɐ lɐge nɐ
তুমি বোকা একজন মানুষ,Sylhet তুমিতাইন একটা গাধা মানুষ,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n ɛktɐ gɐd̪ʱɐ mɐnuʃ
তুমি বেশী কথা বলো,Sylhet তুমিতাইন বেশি মাতো,ʃɔlhet t̪umɪt̪ɐ͡ɪ̯n beʃɪ mɐt̪o
তুমি অল্প কথা বলো ,Sylhet তুমিতাইন কম মাতো,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n kɔm mɐt̪o
আমি আজ সকালে চা খাই নাই,Sylhet আমি আইজ সকাইলকু চা খাইছি না,ʃɔlhet ɐmɪ ɐ͡ɪ̯ɟ ʃɔkɐ͡ɪ̯lku cɐ kʰɐ͡ɪ̯cʰɪ nɐ
আমি আজ সকালে আমার বন্ধুদের সাথে ঘুরতে গিয়েছিলাম,Sylhet আমি আইজ সকালে আমার বন্ধু ওকলতোর লগে ঘুরাত গেছলাম,ʃɔlhe ɐmɪ ɐ͡ɪ̯ɟ ʃɔkɐle ɐmɐɾ bond̪ʱu oklot̪oɾ lɔge gʱuɾɐt̪ gecʰolɐm
আমি আজ সকালে আমার বন্ধুর সাথে ঝগড়া করেছি,Sylhet আমি আইজ সকাইলকু আমার বন্ধু ওগুর লগে ঝগড়া করছি,ʃɔlhet ɐmɪ ɐ͡ɪ̯ɟ ʃɔkɐ͡ɪ̯lku ɐmɐɾ bond̪ʱu oguɾ lɔge ɟʱɔgɽɐ koɾcʰɪ
আমার বন্ধু আমার সব কথা খুবই মনোযোগ দিয়ে শুনে,Sylhet আমার বন্ধু ওতায় আমার মাত খুব মন দিয়া হুনে,ʃɔlho ɐmɐɾ bond̪ʱu ot̪ɐe̯ ɐmɐɾ mɐt̪ kʰub mon d̪ɪʲɐ hune
আমার বন্ধু হয়ত আমাকে অনেক ভালবাসে,Sylhet আমার বন্ধু ওকলতে মনয় আমারে খুব বালা ফাও,ʃɔlhe ɐmɐɾ bond̪ʱu okolt̪e monoe̯ ɐmɐɾe kʰub bɐlɐ pʰɐ͡o̯
আমার একটি বিড়াল আছে,Sylhet আমার একগু বিলাই আছে,ʃɔlhet ɐmɐɾ ɛkgu bɪlɐ͡ɪ̯ ɐcʰe
আমার বিড়ালের নাম মিনু,Sylhet আমার বিলাই ওর নাম মিনু,ʃɔlhe ɐmɐɾ bɪlɐ͡ɪ̯ oɾ nɐm mɪnu
আমি আমার বিড়ালের সাথে খেলতে অনেক ভালবাসি,Sylhet আমি আমার বিলাই ওর লগে খেলতে যে বালা ফাই,ʃɔlhe ɐmɪ ɐmɐɾ bɪlɐ͡ɪ̯ oɾ lɔge kʰelt̪e ɟe bɐlɐ pʰɐ͡ɪ̯
"এই ১৪ টি বছরে আজও কোন কারনে উনি আমাকে ""তুই"" বলে ডাকেনি","Sylhet ওয় ১৪ টা বছর ধরি আইজও তাইন কোন কারণে আমারে ""তুই"" কইয়া ডাকছোইন না"," ʃɔlhe oe̯ d̪ʱɔ tɐ bɔcʰoɾ d̪ʱoɾɪ ɐ͡ɪ̯ɟo t̪ɐ͡ɪ̯n kon kɐɾone ɐmɐɾe ""t̪u͡ɪ̯"" ko͡ɪ̯ʲɐ dɐkcʰ"
কখনো গায়ে হাত তুলে নি,Sylhet কোন বালা গাত হাত তুলছে না ,ʃɔlhe kon bɐlɐ gɐt̪ hɐt̪ t̪ulcʰe nɐ 
লোক দেখানো শেষ?,Sylhet মাইনষরে দেখানি শেষ না নি?,ʃɔlhet mɐ͡ɪ̯nʃɔɾe d̪ekʰɐnɪ ʃeʃ nɐ nɪ?
এত তাড়াতাড়ি শেষ,Sylhet ওতো জলদি শেষ!!,ʃɔlhe ot̪o zɔld̪ɪ ʃeʃ!!
বুঝতেছিনা কি করবো আমি,Sylhet বুঝিয়ার না কিতা করতাম আমি, ʃɔlho buɟʱɪʲɐɾ nɐ kɪt̪ɐ koɾt̪ɐm ɐmɪ
আমার দুই বিয়ে হয়েছে,Sylhet আমার দুইগু বিয়া ওইছে,sɪhet ɐmɐɾ d̪u͡ɪ̯gu bɪʲɐ o͡ɪ̯cʰe
আমি একজন মেয়ে মানুষ,Sylhet আমি একগু ফুরি মানুষ,ʃɔlhet ɐmɪ ɛkgu pʰuɾɪ mɐnuʃ
"আমার দ্বিতীয়  বিয়ে নিয়ে আমার নিজের কাকারা, মামারা খোঁচা মেরে কথা বলে",Sylhet আমার দুই নাম্বার বিয়া লইয়া আমার নিজ ওর কাকা-মামাইন্তে খোঁচা মারিয়া মাতোইন, ʃɔlhe ɐmɐɾ d̪u͡ɪ̯ nɐmbɐɾ bɪʲɐ lɔ͡ɪ̯ʲɐ ɐmɐɾ nɪɟ oɾ -mɐmɐ͡ɪ̯nt̪e kʰõcɐ mɐɾɪʲɐ mɐt̪o
কিন্তু আজ পর্যন্ত আমার স্বামী আমাকে খোঁচা মেরে কথা বলেনি,Sylhet কিন্তু আইজ পর্যন্ত আমার জামাইয়ে আমারে খোঁচা মারিয়া মাতছে না,ʃɔlhe kɪnt̪u ɐ͡ɪ̯ɟ poɾɟont̪o ɐmɐɾ ɟɐmɐ͡ɪ̯ʲe ɐmɐɾe kʰõcɐ mɐɾɪʲɐ mɐt̪cʰe nɐ
ভাবছি আপন লোক কি এমনই হয়?,Sylhet ভাবিয়ার নিজ ওর মানুষ ওউ ওলা ওইন নি?,ʃɔlhe bʱɐbɪʲɐɾ nɪɟ oɾ mɐnuʃ o͡u̯ olɐ o͡ɪ̯n nɪ?
আমার আপন লোক গুলোই এমন,Sylhet আমার নিজ ওর মানুষ ওকল ওউ ওলাকান,ʃɔlhet ɐmɐɾ nɪz oɾ mɐnuʃ okol o͡u̯ olɐkɐn
আমার আর বাঁচতে ইচ্ছে করেনা জানেন,Sylhet আমার আর বাঁচতে ইচ্ছা করে না জানোইন নি,ʃɔlho ɐmɐɾ ɐɾ bɐ̃ct̪e ɪccʰɐ koɾe nɐ ɟɐno͡ɪ̯n nɪ
আমার প্রথম বিয়ে আমাকে জোর করে দেয়,Sylhet আমার ফয়লা বিয়া আমারে জোর করিয়া দিছে,ʃɔlhe ɐmɐɾ pʰɔʲlɐ bɪʲɐ ɐmɐɾe ɟoɾ koɾɪʲɐ d̪ɪcʰe
সেখানে ছেলে অনেক কিপটা ছিলো আমি দুইবেলা ভাত খেতে পারতাম না,"Sylhet হনো ফুয়া বউত কিপটা আছিল, আমি দুইবেলা ভাত ওউ খাইতে ফারতাম না","ʃɔlhe hono fuʲɐ bɔ͡u̯t̪o kɪptɐ ɐcʰɪlo, ɐmɪ d̪u͡ɪ̯belɐ vɐt̪ o͡u̯ xɐ͡ɪ̯t̪e fɐɾt̪ɐm nɐ"
দ্বিতীয়  বিয়েতে আমি কল্পনার চেয়েও বেশি সুখী,Sylhet দুই নাম্বার বিয়াত আমি ভাবনার বাইরে সুখী আছি,ʃɔlhe d̪u͡ɪ̯ nɐmbɐɾ bɪʲɐt̪ ɐmɪ bʱɐbnɐɾ bɐ͡ɪ̯ɾe ʃukʰɪ ɐcʰɪ
এইগুলো দেখেও সবাই না দেখার ভান করে,Sylhet ইতা দেখিয়াও হক্কলে না দেখার ভান করি থাকোইন,ʃɔlhe ɪt̪ɐ d̪ekʰɪʲɐ͡o̯ hokkole nɐ d̪ɛkʰɐɾ bʱɐn koɾɪ t̪ʰɐko͡ɪ̯n
খোঁচা মারার মতো কথা আছেই যে আমার দুই বিয়ে,Sylhet খোঁচা মারার মতো মাত আছেউ যে আমার দুইগু বিয়া,ʃɔlhe kʰõcɐ mɐɾɐɾ mɔt̪o mɐt̪ ɐcʰe͡u̯ ɟe ɐmɐɾ d̪u͡ɪ̯gu bɪʲɐ
আমার সুখ দেখে আবার তাদের সহ্য হয়না,Sylhet আমার সুখ দেখিয়া আবার ইতার সইহ্য ওয় না,ʃɔlhe ɐmɐɾ ʃukʰ d̪ekʰɪʲɐ ɐbɐɾ ɪt̪ɐɾ ʃo͡ɪ̯ɟɟʱo oe̯ nɐ
বিয়ে করার পাঁচ বছর পর এখন আমি স্মার্ট হইসি,Sylhet বিয়া করার পাঁচ বছর বাদে ওখন আমি স্মার্ট ওইছি,ʃɔlhe bɪʲɐ kɔɾɐɾ pɐ̃c bɔcʰoɾ bɐd̪e okʰon ɐmɪ sɐɾt o͡ɪ̯cʰɪ
প্রথম প্রথম বউ এর অনেক প্রশ্নের সঠিক উত্তর দিয়ে বিপদে পড়তাম,Sylhet ফয়লা ফয়লা বউ ওর বউত প্রশ্ন'র হাছা উত্তর দিয়া বিপদও পড়তাম,ʃɔlhe fɔʲlɐ fɔʲlɐ bɔ͡u̯ oɾ bɔ͡u̯t̪o pɾosno'ɾo hɐcʰɐ ut̪t̪oɾ d̪ɪʲɐ bɪpɔd̪o pɔɽt̪ɐm
বিশাল ক্যাচাল লেগে যেতো,Sylhet খেচা ঝামেলা লাগতো,ʃɔlhe kʰecɐ ɟʱɐmelɐ lɐgt̪o
এরপর ঠিক করলাম তেল মারা উত্তর দিবো,Sylhet এরবাদে ঠিক করলাম তেল মারা উত্তর দিমু,ʃɔlhe eɾbɐd̪e tʰɪk koɾlɐm t̪el mɐɾɐ ut̪t̪oɾ d̪ɪmu
এতে ও লাভ হলো না,Sylhet ইটায়ও লাভ ওইলো না,ʃɔlhe ɪtɐʲo lɐbʱ o͡ɪ̯lo nɐ
ক্যাচাল থামলো না,Sylhet ঝামেলা থামলো না,ʃɔlhe ɟʱɐmelɐ t̪ʰɐmlo nɐ
হালকা পাতলা লাভ হচ্ছে,Sylhet থুরা থুরি লাভ ওইরো,ʃɔlhe t̪ʰuɾɐ t̪ʰuɾɪ lɐbʱ o͡ɪ̯ɾo
"বউ খাবার সময় বেশ হাসি মুখে বল্লো, রান্না কেমন হয়েছে?","Sylhet বউয়ে খানির সময় বাক্কা হাসি মুখে জিগাইলো, রান্না কিলা ওইছে?","ʃɔlhe bo͡u̯ʲe kʰɐnɪɾ ʃɔmɔe̯ bɐkkɐ hɐʃɪ mukʰe ɟɪgɐ͡ɪ̯lo, ɾɐnnɐ kɪlɐ o͡ɪ̯cʰe?"
খাবারে আরেকটু রসুন দিলে বেশী মজা হতো,Sylhet খানিত থুরা রসুন বাড়াইয়া দিলে আরো মজা ওইতো,ʃɔlhe kʰɐnɪt̪o t̪ʰuɾɐ ɾoʃun bɐɽɐ͡ɪ̯ʲɐ d̪ɪle ɐɾo mɔɟɐ o͡ɪ̯t̪o
খাবারে লবণ একটু কম হয়েছে,Sylhet খানিত লবণ থুরা কম ওইছে,ʃɔlhe kʰɐnɪt̪o lɔbon t̪ʰuɾɐ kɔm o͡ɪ̯cʰe
তোমার খাওয়া লাগবে না,Sylhet তুমিতাইন ওর খাওয়া লাগতো নায়,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ kʰɐ͡o̯ʷɐ lɐgt̪o nɐe̯
আমি তো আসলে কিছুই পারি না,Sylhet আমি তো আসলে কুন্তাউ পারি না,ʃɔlhe ɐmɪ t̪o ɐʃole kunt̪ɐ͡u̯ pɐɾɪ nɐ
বউ এর চোখ ছলছল,Sylhet বউ ওর চউখ ও পানি টুপটুপ,ʃɔlhe bɔ͡u̯ oɾ cɔ͡u̯kʰ o pɐnɪ tuptup
তুমি আমাকে আর কত অবাক করবা,Sylhet তুমি আমারে আর কত অবাক করতায়?,ʃɔlhe t̪umɪ ɐmɐɾe ɐɾ kɔt̪o ɔbɐk koɾt̪ɐe̯?
এক চামচ খেয়েই এতো কথা বলে দিলা,Sylhet এক চামচ খাইয়াউ ওতো মাত মাতিলাইলা,ʃɔlhet ɛk cɐmoc kʰɐ͡ɪ̯ʲɐ͡u̯ ot̪o mɐt̪ mɐt̪ɪlɐ͡ɪ̯lɐ
চাপাবাজি টা একটু কমাও,Sylhet গফ থুরা কমাইয়া মারো,ʃɔlhe gɔpʰ t̪ʰuɾɐ kɔmɐ͡ɪ̯ʲɐ mɐɾo
তুমি রেঁধেছো,Sylhet তুমি রানচো,ʃɔlhet t̪umɪ ɾɐnco
আমি তো ভাবলাম শাশুড়ি আম্মা আমার জন্য রান্না করে পাঠিয়েছেন,Sylhet আমি তো ভাবিয়ার হরি আম্মায় আমার লাগি রান্দিয়া পাঠাইছইন,ʃɔlhe ɐmɪ t̪o bʱɐbɪʲɐɾ hoɾɪ ɐmmɐe̯ ɐmɐɾ lɐgɪ ɾɐnd̪ɪʲɐ pɐtʰɐ͡ɪ̯cʰo͡ɪ̯n
তোমার রান্না তো পুরা আম্মার মতো,Sylhet তোমার রান্দা তো ফুরাউ আম্মার লাকান,ʃɔlhet t̪omɐɾ ɾɐnd̪ɐ t̪o pʰuɾɐ͡u̯ ɐmmɐɾ lɐkɐn
"আরেক টু খাও, এক চামুচ দেই?","Sylhet আর থুরা খাও, এক চামচ দিলাই?","ʃɔlhe ɐɾ t̪ʰuɾɐ kʰɐ͡o̯, ɛk cɐmoc d̪ɪlɐ͡ɪ̯?"
মেকআপ টা কেমন হইসে?,Sylhet মেকআপ কিলা ওইছে?,ʃɔlhe mekɐp kɪlɐ o͡ɪ̯cʰe?
"একটু বেশী হয়ে গেসে, কম হলে আরো ভালো লাগতো","Sylhet থুরা বেশি ওই গেছে, কম ওইলে আরো ভালা লাগলো নে","ʃɔlhe t̪ʰuɾɐ beʃɪ o͡ɪ̯ gecʰe, kɔm o͡ɪ̯le ɐɾo bʱɐlɐ lɐglo ne"
"বউ মেকআপ তুলতে তুলতে, যাবোই না আজ","Sylhet বউয়ে মেকআপ তুলিয়া তুলিয়া,যাইরাম ওউ না আইজ","ʃɔlhe bo͡u̯ʲe mekɐp t̪ulɪʲɐ t̪ulɪʲɐ,ɟɐ͡ɪ̯ɾɐm o͡u̯ nɐ ɐ͡ɪ̯ɟ"
আমি তো মেকআপই দিতে পারি না,Sylhet আমি তো মেকআপ ওউ দিতাম ফারি না,ʃɔlhe ɐmɪ t̪o mekɐp o͡u̯ d̪ɪt̪ɐm pʰɐɾɪ nɐ
তুমি যাও একা একা,Sylhet তুমি ওউ যাও এখলা,ʃɔlhe t̪umɪ o͡u̯ ɟɐ͡o̯ ekʰlɐ
পার্টি তে গিয়ে সুন্দরি দের সাথে ঢং করে আসো,Sylhet পার্টিত গিয়া সুন্দরী ওকলতোর লগে ফুংগামি করিয়া আও,ʃɔlhe pɐɾtɪt̪o gɪʲɐ ʃund̪oɾɪ oklot̪oɾ lɔge pʰuŋgɐmɪ koɾɪʲɐ ɐ͡o̯
কিভাবে এতো জোস মেকআপ করো,Sylhet কিলা ওতো জোস মেকআপ করো,ʃɔlhe kɪlɐ ot̪o ɟoʃ mekɐp koɾo
না বুঝে বেশী কথা বলো কেন ,Sylhet আনা বুঝিয়া বেশি মাতো কেনে,ʃɔlhe ɐnɐ buɟʱɪʲɐ beʃɪ mɐt̪o kene
"আমার দিকে তো আর তাকাও না, চোখ থাকে অন্য মেয়েদের দিকে","Sylhet আমার দিকে তো আর চাও না, চউখ থাকে অইন্য ফুরিন্তোর ওবায়","ʃɔlhe ɐmɐɾ d̪ɪke t̪o ɐɾ cɐ͡o̯ nɐ, cɔ͡u̯kʰ t̪ʰɐke ɔ͡ɪ̯nno pʰuɾɪnt̪oɾ obɐe̯"
আমি বেশ কিছুক্ষন তাঁর মুখের দিকে তাকিয়ে থাকলাম,Sylhet আমি বাক্কা সময় তাঁর মুখ ওর দিকে চাই রইলাম,ʃɔlhe ɐmɪ bɐkkɐ ʃɔmɔe̯ t̪ɐ̃ɾ mukʰ oɾ d̪ɪke cɐ͡ɪ̯ ɾo͡ɪ̯lɐm
তুমি এতো কিছু বুঝো কিভাবে,Sylhet তুমিতাইন ওতোতা বুঝো কিলা,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n ot̪ot̪ɐ buɟʱo kɪlɐ
শাড়িটা আমাকে কেমন মানিয়েছে,Sylhet শাড়িটায় আমারে কিলা লাগের,ʃɔlhe ʃɐɽɪtɐe̯ ɐmɐɾe kɪlɐ lɐgeɾ
সবুজ শাড়িটা পড়লে দারুন লাগতো,Sylhet সবুজ রঙ ওর শাড়ি ওগু পড়লে সুন্দর লাগতো,ʃɔlhet ʃobuɟ ɾɔŋ oɾ ʃɐɽɪ ogu pɔɽle ʃund̪ɔɾ lɐgt̪o
সবুজ শাড়ি কি তোমার এক্স কোনো গার্লফ্রেন্ডের পছন্দের রঙ,Sylhet সবুজ রঙ ওর শাড়ি কিতা তোমার এক্স কোনো বান্ধোবীর পছন্দ আছিল নি?,ʃɔlhe ʃobuɟ ɾɔŋ oɾ ʃɐɽɪ kɪt̪ɐ t̪omɐɾ ekʃo kono bɐnd̪ʱobɪɾ pɔcʰond̪o ɐcʰɪlo nɪ?
এই সব তেল আমাকে দিবা না! বিরক্ত লাগে,Sylhet ইতা তেল আমারে মারিও না! অসইহ্য লাগে,ʃɔlhe ɪt̪ɐ t̪el ɐmɐɾe mɐɾɪ͡o̯ nɐ! ɔʃo͡ɪ̯ɟɟʱo lɐge
"মাথায় রেখো, বিয়ে বাড়িতে যাচ্ছো","Sylhet মনো রাখিও, বিয়া বাড়িত যাইরায়","ʃɔlhe mono ɾɐkʰɪ͡o̯, bɪʲɐ bɐɽɪt̪o ɟɐ͡ɪ̯ɾɐe̯"
বউ এর চেয়ে তোমাকে বেশী সুন্দর লাগলে কিন্তু সমস্যা,Sylhet বউ ওর তাকি তুমিতাইনরে বেশি সুন্দর লাগলে তো সমস্যা,ʃɔlhe bɔ͡u̯ oɾ t̪ɐkɪ t̪umɪt̪ɐ͡ɪ̯nɾe beʃɪ ʃund̪ɔɾ lɐgle t̪o ʃɔmoʃʃɐ
বিবাহিত জীবনে সুখে থাকুন,Sylhet সংসার জীবন্ব ভালা থাকোউকা,ʃɔlhe ʃɔŋʃɐɾ ɟɪbɔnbo bʱɐlɐ t̪ʰɐko͡u̯kɐ
আমার স্বামী মদ খায় রাতের পর রাত বন্ধুদের সাথে আড্ডা দেয়,Sylhet আমার জামাইয়ে মদ খাইয়া রাইত ওর পর রাইত বন্ধু ইতাইন্তোর লগে আড্ডা মারে,ʃɔlhe ɐmɐɾ ɟɐmɐ͡ɪ̯ʲe mɔd̪ kʰɐ͡ɪ̯ʲɐ ɾɐ͡ɪ̯t̪o oɾ pɔɾ ɾɐ͡ɪ̯t̪o bond̪ʱu ɪt̪ɐ͡ɪ̯nt̪oɾ 
